CASE	DRINKS	SEX	DOMINANT_SIDE	FIRST_STUMBLE	END_POSITION	MATCH
1	10	1	1	1	1	1
2	6	1	1	1	1	1
3	5	0	1	1	1	1
4	14	1	1	1	0	1
5	7	1	1	0	0	0
6	12	1	0	0	1	1
7	8	0	0	0	0	1
8	7	0	0	0	0	1
9	9	1	0	1	1	0
10	5	0	0	0	0	1
11	5	0	1	1	1	1
12	8	1	1	1	0	1
13	8	0	1	0	1	0
14	7	0	1	0	0	0
15	11	1	1	0	1	0
16	4	0	0	1	1	0
17	8	0	0	0	0	1
18	7	0	0	1	1	0
19	6	0	0	0	1	1
20	9	1	0	1	0	0
21	7	0	1	1	0	1
22	5	1	1	1	0	1
23	4	1	1	0	0	0
24	10	1	1	1	1	1
25	9	1	1	0	1	0
26	8	0	0	0	0	1
27	6	0	0	0	0	1
28	7	1	0	0	1	1
29	5	0	0	1	1	0
30	6	1	0	0	1	1
31	10	1	1	1	1	1
32	10	1	1	1	1	1
33	9	1	1	1	0	1
34	9	0	1	1	1	1
35	6	0	1	1	1	1
36	7	0	0	1	0	0
37	5	0	0	1	1	0
38	7	1	0	0	0	1
39	10	0	0	0	1	1
40	11	0	0	0	1	1
41	5	0	1	1	1	1
42	2	0	1	1	1	1
43	4	0	1	1	1	1
44	6	0	1	0	1	0
45	4	0	1	0	0	0
46	6	0	0	0	0	1
47	3	0	0	1	1	0
48	2	0	0	0	1	1
49	3	0	0	0	0	1
50	4	0	0	0	0	1
51	10	0	1	1	1	1
52	13	1	1	1	1	1
53	6	0	1	0	1	0
54	7	0	1	1	1	1
55	14	1	1	1	1	1
56	12	1	0	0	0	1
57	12	1	0	1	0	0
58	7	0	0	0	0	1
59	7	1	0	0	0	1
60	9	0	0	1	1	0
61	5	0	1	1	0	1
62	13	1	1	1	0	1
63	9	1	1	1	0	1
64	4	0	1	0	0	0
65	9	1	1	1	1	1
66	10	1	0	1	1	0
67	7	1	0	0	1	1
68	8	1	0	0	1	1
69	6	0	0	0	0	1
70	4	0	0	0	1	1
71	5	0	1	1	0	1
72	9	1	1	1	1	1
73	7	0	1	1	1	1
74	8	1	1	1	0	1
75	10	1	0	0	1	1
76	8	0	0	0	0	1
77	12	1	0	0	0	1
78	7	0	0	0	0	1
79	12	1	1	1	1	1
80	7	0	1	1	0	1
81	9	0	1	1	1	1
82	9	1	0	0	0	1
83	10	1	0	0	0	1
84	8	1	0	0	1	1
85	5	0	1	1	1	1
86	8	1	1	1	0	1
87	8	0	1	0	1	0
88	7	0	1	0	0	0
89	11	1	1	0	1	0
90	4	0	0	1	1	0
91	8	0	0	0	0	1
92	7	0	0	1	1	0
93	6	0	0	0	1	1
94	9	1	0	1	0	0
95	7	0	1	1	0	1
96	5	1	1	1	0	1
97	4	1	1	0	0	0
98	10	1	1	1	1	1
99	9	1	1	0	1	0
100	8	0	0	0	0	1
101	6	0	0	0	0	1
102	7	1	0	0	1	1
103	5	0	0	1	1	0
104	6	1	0	0	1	1
105	10	1	1	1	1	1
106	10	1	1	1	1	1
107	9	1	1	1	0	1
108	9	0	1	1	1	1
109	6	0	1	1	1	1
110	7	0	0	1	0	0
111	5	0	0	1	1	0
112	7	1	0	0	0	1
113	10	0	0	0	1	1
114	11	0	0	0	1	1
115	10	1	1	1	1	1
116	6	1	1	1	1	1
117	5	0	1	1	1	1
118	14	1	1	1	0	1
119	7	1	1	0	0	0
120	12	1	0	0	1	1
121	8	0	0	0	0	1
122	7	0	0	0	0	1
123	9	1	0	1	1	0
124	5	0	0	0	0	1
125	5	0	1	1	1	1
126	2	0	1	1	1	1
127	4	0	1	1	1	1
128	6	0	1	0	1	0
129	4	0	1	0	0	0
130	6	0	0	0	0	1
131	3	0	0	1	1	0
132	2	0	0	0	1	1
133	3	0	0	0	0	1
134	4	0	0	0	0	1
135	4	1	1	1	1	1
136	2	1	1	0	1	0
137	6	1	1	0	1	0
138	4	0	0	0	1	1
139	8	1	0	0	0	1
140	4	0	0	1	0	0
141	5	1	0	1	1	0
142	10	1	1	1	0	1
143	10	1	1	0	1	0
144	5	1	1	1	1	1
145	11	1	1	0	0	0
146	4	0	1	1	1	1
147	5	0	0	0	1	1
148	12	1	0	0	0	1
149	9	1	0	1	0	0
150	5	0	0	0	0	1
151	6	0	0	0	0	1
